ticker,companyname,transcriptid,keydevid,headline,call_date,total_sentences,ai_sentence_count,ai_intensity,hype_period
DRI,1&1 AG,1697303.0,606394604.0,"1&1 Drillisch AG, 2018 Earnings Call, Mar 28, 2019",2019-03-28,933,0,0.0,2019 Pre-Pandemic Baseline
1U1,1&1 AG,1759569.0,613614302.0,"1&1 Drillisch AG, Q1 2019 Earnings Call, May 15, 2019",2019-05-15,500,0,0.0,2019 Pre-Pandemic Baseline
DRI,1&1 AG,1811068.0,633240865.0,"1&1 Drillisch AG, H1 2019 Earnings Call, Aug 15, 2019",2019-08-15,718,0,0.0,2019 Pre-Pandemic Baseline
1U1,1&1 AG,1876630.0,643780295.0,"1&1 Drillisch AG, Q3 2019 Earnings Call, Nov 12, 2019",2019-11-12,464,0,0.0,2019 Pre-Pandemic Baseline
ABT,Abbott Laboratories,1640280.0,595353008.0,"Abbott Laboratories, Q4 2018 Earnings Call, Jan 23, 2019",2019-01-23,563,0,0.0,2019 Pre-Pandemic Baseline
ABT,Abbott Laboratories,1701600.0,606986650.0,"Abbott Laboratories, Q1 2019 Earnings Call, Apr 17, 2019",2019-04-17,552,0,0.0,2019 Pre-Pandemic Baseline
ABT,Abbott Laboratories,1773679.0,622961692.0,"Abbott Laboratories, Q2 2019 Earnings Call, Jul 17, 2019",2019-07-17,519,0,0.0,2019 Pre-Pandemic Baseline
ABT,Abbott Laboratories,1834216.0,637508538.0,"Abbott Laboratories, Q3 2019 Earnings Call, Oct 16, 2019",2019-10-16,550,0,0.0,2019 Pre-Pandemic Baseline
ABBV,AbbVie Inc.,1642397.0,596990338.0,"AbbVie Inc., Q4 2018 Earnings Call, Jan 25, 2019",2019-01-25,458,0,0.0,2019 Pre-Pandemic Baseline
ABBV,AbbVie Inc.,1708683.0,608688882.0,"AbbVie Inc., Q1 2019 Earnings Call, Apr 25, 2019",2019-04-25,511,0,0.0,2019 Pre-Pandemic Baseline
ABBV,AbbVie Inc.,1782376.0,628996893.0,"AbbVie Inc., Q2 2019 Earnings Call, Jul 26, 2019",2019-07-26,464,0,0.0,2019 Pre-Pandemic Baseline
ABBV,AbbVie Inc.,1851146.0,639811876.0,"AbbVie Inc., Q3 2019 Earnings Call, Nov 01, 2019",2019-11-01,500,0,0.0,2019 Pre-Pandemic Baseline
ACN,Accenture plc,1694792.0,606095840.0,"Accenture plc, Q2 2019 Earnings Call, Mar 28, 2019",2019-03-28,423,10,0.0236406619385342,2019 Pre-Pandemic Baseline
ACN,Accenture plc,1768176.0,620430808.0,"Accenture plc, Q3 2019 Earnings Call, Jun 27, 2019",2019-06-27,446,5,0.0112107623318385,2019 Pre-Pandemic Baseline
ACN,Accenture plc,1829320.0,636448675.0,"Accenture plc, Q4 2019 Earnings Call, Sep 26, 2019",2019-09-26,447,4,0.0089485458612975,2019 Pre-Pandemic Baseline
ACN,Accenture plc,1886924.0,646278183.0,"Accenture plc, Q1 2020 Earnings Call, Dec 19, 2019",2019-12-19,469,1,0.0021321961620469,2019 Pre-Pandemic Baseline
ADBE,Adobe Inc.,1689535.0,583406922.0,"Adobe Systems Incorporated, Q1 2019 Earnings Call, Mar 14, 2019",2019-03-14,458,1,0.0021834061135371,2019 Pre-Pandemic Baseline
ADBE,Adobe Inc.,1767920.0,583407002.0,"Adobe Systems Incorporated, Q2 2019 Earnings Call, Jun 18, 2019",2019-06-18,378,5,0.0132275132275132,2019 Pre-Pandemic Baseline
ADBE,Adobe Inc.,1825894.0,583407020.0,"Adobe Systems Incorporated, Q3 2019 Earnings Call, Sep 17, 2019",2019-09-17,438,2,0.0045662100456621,2019 Pre-Pandemic Baseline
ADBE,Adobe Inc.,1885233.0,583407040.0,"Adobe Systems Incorporated, Q4 2019 Earnings Call, Dec 12, 2019",2019-12-12,387,1,0.0025839793281653,2019 Pre-Pandemic Baseline
AMD,"Advanced Micro Devices, Inc.",1643513.0,598582501.0,"Advanced Micro Devices, Inc., Q4 2018 Earnings Call, Jan 29, 2019",2019-01-29,447,2,0.0044742729306487,2019 Pre-Pandemic Baseline
AMD,"Advanced Micro Devices, Inc.",1716972.0,610819996.0,"Advanced Micro Devices, Inc., Q1 2019 Earnings Call, Apr 30, 2019",2019-04-30,376,4,0.0106382978723404,2019 Pre-Pandemic Baseline
AMD,"Advanced Micro Devices, Inc.",1789337.0,629694643.0,"Advanced Micro Devices, Inc., Q2 2019 Earnings Call, Jul 30, 2019",2019-07-30,458,1,0.0021834061135371,2019 Pre-Pandemic Baseline
AMD,"Advanced Micro Devices, Inc.",1846373.0,640605287.0,"Advanced Micro Devices, Inc., Q3 2019 Earnings Call, Oct 29, 2019",2019-10-29,445,0,0.0,2019 Pre-Pandemic Baseline
ARE,Aecon Group Inc.,1710100.0,601900740.0,"Aecon Group Inc., Q4 2018 Earnings Call, Mar 06, 2019",2019-03-06,227,0,0.0,2019 Pre-Pandemic Baseline
